name,code,orbit,genus,gf2deg,pop,fingerprint,s,bs,C,dt,deg,dnf,cnf
mrly_00000,0,1,iso,-1,0,0 0 0 0 0,0,0,0,0,-1,0,1
mrly_00001,1,16,iso,4,1,1 0 0 0 0,4,4,4,4,4,1,4
mrly_00003,3,32,axis,3,2,2 -1 0 0 0,3,3,3,3,3,1,3
mrly_00006,6,48,comp,3,2,2 -2 0 0 0,4,4,4,4,4,2,4
mrly_00007,7,96,comp,4,3,3 -2 0 0 0,3,3,3,4,4,2,3
mrly_00015,15,24,axis,2,4,4 -4 1 0 0,2,2,2,2,2,1,2
mrly_00022,22,64,comp,4,3,3 -3 0 0 0,4,4,4,4,4,3,5
mrly_00023,23,64,comp,3,4,4 -3 0 0 0,3,3,3,4,4,3,4
mrly_00024,24,32,comp,3,2,2 -3 1 0 0,4,4,4,4,3,2,4
mrly_00025,25,192,comp,4,3,3 -3 1 0 0,4,4,4,4,4,2,4
mrly_00027,27,192,comp,3,4,4 -4 1 0 0,3,3,3,3,3,2,3
mrly_00030,30,192,comp,3,4,4 -5 1 0 0,4,4,4,4,4,3,4
mrly_00031,31,192,comp,4,5,5 -5 1 0 0,3,3,3,4,4,2,3
mrly_00060,60,48,comp,2,4,4 -6 2 0 0,3,3,3,3,3,2,3
mrly_00061,61,192,comp,4,5,5 -6 2 0 0,3,3,3,4,4,3,3
mrly_00063,63,96,comp,3,6,6 -7 2 0 0,2,2,2,3,3,2,2
mrly_00105,105,16,comp,2,4,4 -6 3 0 0,4,4,4,4,4,4,5
mrly_00107,107,64,comp,4,5,5 -7 3 0 0,4,4,4,4,4,4,4
mrly_00111,111,96,comp,3,6,6 -8 3 0 0,3,3,3,4,4,3,3
mrly_00126,126,32,comp,3,6,6 -9 3 0 0,3,3,3,4,3,3,3
mrly_00127,127,64,comp,4,7,7 -9 3 0 0,3,3,3,4,4,3,2
mrly_00255,255,8,axis,1,8,8 -12 6 -1 0,1,1,1,1,1,1,1
mrly_00278,278,16,iso,3,4,4 -4 0 0 0,4,4,4,4,4,4,7
mrly_00279,279,16,iso,4,5,5 -4 0 0 0,3,3,3,4,4,4,6
mrly_00280,280,96,comp,4,3,3 -4 1 0 0,4,4,4,4,4,3,5
mrly_00281,281,96,comp,3,4,4 -4 1 0 0,4,4,4,4,3,3,5
mrly_00282,282,192,comp,3,4,4 -5 1 0 0,4,4,4,4,4,3,5
mrly_00283,283,192,comp,4,5,5 -5 1 0 0,3,3,3,4,4,3,4
mrly_00286,286,96,comp,4,5,5 -6 1 0 0,4,4,4,4,4,4,6
mrly_00287,287,96,comp,3,6,6 -6 1 0 0,3,3,3,4,4,3,5
mrly_00300,300,192,comp,3,4,4 -6 2 0 0,4,4,4,4,3,3,5
