D,k,minpoly,degree,rho,classes,rules,code,windows,kappa_min,kappa_max,strict,name
1,1,x - 2,1,2.000000000000,1,1,3,2,0.0,0.0,1,
1,1,x - 1,1,1.000000000000,1,2,1,1,0.0,0.0,1,
1,1,x,1,0.E-38,1,1,0,0,,,,
1,2,x - 2,1,2.000000000000,1,1,15,4,0.0,0.0,1,
1,2,x^2 - x - 1,2,1.618033988749,1,2,7,3,0.098239,0.098239,1,golden
1,2,x - 1,1,1.000000000000,5,10,1,1,0.0,0.792481,1,
1,2,x,1,0.E-38,2,3,0,0,,,,
1,3,x - 2,1,2.000000000000,1,1,255,8,0.0,0.0,1,
1,3,x^3 - x^2 - x - 1,3,1.839286755214,1,2,127,7,0.056639,0.056639,1,tribonacci
1,3,x^3 - 2*x^2 + x - 1,3,1.754877666246,1,2,223,7,0.124415,0.124415,1,
1,3,x^2 - x - 1,2,1.618033988749,7,16,55,5,0.079734,0.241543,1,golden
1,3,x^3 - x^2 - 1,3,1.465571231876,5,14,23,4,0.115204,0.310191,1,supergolden
1,3,x^4 - x^3 - 1,4,1.380277569097,1,2,91,5,0.309018,0.309018,1,
1,3,x^3 - x - 1,3,1.324717957244,4,12,54,4,0.260981,0.455969,1,plastic
1,3,x^4 - x - 1,4,1.220744084605,1,2,94,5,0.486215,0.486215,1,
1,3,x - 1,1,1.000000000000,54,166,1,1,0.0,0.861654,1,
1,3,x,1,0.E-38,13,39,0,0,,,,
1,4,x - 2,1,2.000000000000,1,1,65535,16,0.0,0.0,1,
1,4,x^4 - x^3 - x^2 - x - 1,4,1.927561975482,1,2,32767,15,0.029945,0.029945,1,
1,4,x^4 - 2*x^3 + x^2 - 2*x + 1,4,1.883203505913,1,2,64511,15,0.063534,0.063534,1,
1,4,x^4 - 2*x^3 + x - 1,4,1.866760399173,2,6,57343,15,0.076186,0.076186,1,
1,4,x^3 - x^2 - x - 1,3,1.839286755214,7,16,16255,13,0.045964,0.097576,1,tribonacci
1,4,x^5 - x^4 - x^3 - x - 1,5,1.812403619268,2,6,24575,14,0.093934,0.093934,1,
1,4,x^6 - 2*x^5 + x^4 - x^3 - 1,6,1.805094251591,1,4,56319,14,0.099765,0.099765,1,
1,4,x^4 - x^3 - 2*x - 1,4,1.794309659412,1,4,31743,14,0.10841,0.10841,1,
1,4,x^6 - x^5 - x^4 - x^2 - 1,6,1.788539830990,1,2,32255,14,0.113056,0.113056,1,
1,4,x^5 - 2*x^4 + x^2 - 1,5,1.784598933368,1,4,57279,14,0.116239,0.116239,1,
1,4,x^5 - x^4 - x^3 - x^2 + 1,5,1.778479616143,1,4,28671,14,0.121194,0.121194,1,
