name,code,orbit,genus,gf2deg,pop,fingerprint,s,bs,C,dt,deg,dnf,cnf
bang_dim=4_code=0,0,1,iso,-1,0,0 0 0 0 0,0,0,0,0,-1,0,1
bang_dim=4_code=1,1,16,iso,4,1,1 0 0 0 0,4,4,4,4,4,1,4
bang_dim=4_code=3,3,32,axis,3,2,2 -1 0 0 0,3,3,3,3,3,1,3
bang_dim=4_code=6,6,48,comp,3,2,2 -2 0 0 0,4,4,4,4,4,2,4
bang_dim=4_code=7,7,96,comp,4,3,3 -2 0 0 0,3,3,3,4,4,2,3
bang_dim=4_code=15,15,24,axis,2,4,4 -4 1 0 0,2,2,2,2,2,1,2
bang_dim=4_code=22,22,64,comp,4,3,3 -3 0 0 0,4,4,4,4,4,3,5
bang_dim=4_code=23,23,64,comp,3,4,4 -3 0 0 0,3,3,3,4,4,3,4
bang_dim=4_code=24,24,32,comp,3,2,2 -3 1 0 0,4,4,4,4,3,2,4
bang_dim=4_code=25,25,192,comp,4,3,3 -3 1 0 0,4,4,4,4,4,2,4
bang_dim=4_code=27,27,192,comp,3,4,4 -4 1 0 0,3,3,3,3,3,2,3
bang_dim=4_code=30,30,192,comp,3,4,4 -5 1 0 0,4,4,4,4,4,3,4
bang_dim=4_code=31,31,192,comp,4,5,5 -5 1 0 0,3,3,3,4,4,2,3
bang_dim=4_code=60,60,48,comp,2,4,4 -6 2 0 0,3,3,3,3,3,2,3
bang_dim=4_code=61,61,192,comp,4,5,5 -6 2 0 0,3,3,3,4,4,3,3
bang_dim=4_code=63,63,96,comp,3,6,6 -7 2 0 0,2,2,2,3,3,2,2
bang_dim=4_code=105,105,16,comp,2,4,4 -6 3 0 0,4,4,4,4,4,4,5
bang_dim=4_code=107,107,64,comp,4,5,5 -7 3 0 0,4,4,4,4,4,4,4
bang_dim=4_code=111,111,96,comp,3,6,6 -8 3 0 0,3,3,3,4,4,3,3
bang_dim=4_code=126,126,32,comp,3,6,6 -9 3 0 0,3,3,3,4,3,3,3
bang_dim=4_code=127,127,64,comp,4,7,7 -9 3 0 0,3,3,3,4,4,3,2
bang_dim=4_code=255,255,8,axis,1,8,8 -12 6 -1 0,1,1,1,1,1,1,1
bang_dim=4_code=278,278,16,iso,3,4,4 -4 0 0 0,4,4,4,4,4,4,7
bang_dim=4_code=279,279,16,iso,4,5,5 -4 0 0 0,3,3,3,4,4,4,6
bang_dim=4_code=280,280,96,comp,4,3,3 -4 1 0 0,4,4,4,4,4,3,5
bang_dim=4_code=281,281,96,comp,3,4,4 -4 1 0 0,4,4,4,4,3,3,5
bang_dim=4_code=282,282,192,comp,3,4,4 -5 1 0 0,4,4,4,4,4,3,5
bang_dim=4_code=283,283,192,comp,4,5,5 -5 1 0 0,3,3,3,4,4,3,4
bang_dim=4_code=286,286,96,comp,4,5,5 -6 1 0 0,4,4,4,4,4,4,6
bang_dim=4_code=287,287,96,comp,3,6,6 -6 1 0 0,3,3,3,4,4,3,5
bang_dim=4_code=300,300,192,comp,3,4,4 -6 2 0 0,4,4,4,4,3,3,5
bang_dim=4_code=301,301,384,comp,4,5,5 -6 2 0 0,4,4,4,4,4,3,5
bang_dim=4_code=303,303,192,comp,3,6,6 -7 2 0 0,3,3,3,3,3,3,4
bang_dim=4_code=316,316,192,comp,4,5,5 -7 2 0 0,4,4,4,4,4,3,5
bang_dim=4_code=317,317,192,comp,3,6,6 -7 2 0 0,3,3,3,3,3,3,4
bang_dim=4_code=318,318,192,comp,3,6,6 -8 2 0 0,4,4,4,4,4,4,5
bang_dim=4_code=319,319,192,comp,4,7,7 -8 2 0 0,3,3,3,4,4,3,4
bang_dim=4_code=360,360,64,comp,3,4,4 -7 3 0 0,4,4,4,4,4,4,6
bang_dim=4_code=361,361,64,comp,4,5,5 -7 3 0 0,4,4,4,4,4,4,6
bang_dim=4_code=362,362,192,comp,4,5,5 -8 3 0 0,4,4,4,4,4,4,5
bang_dim=4_code=363,363,192,comp,3,6,6 -8 3 0 0,4,4,4,4,4,4,5
bang_dim=4_code=366,366,192,comp,3,6,6 -9 3 0 0,4,4,4,4,3,4,5
bang_dim=4_code=367,367,192,comp,4,7,7 -9 3 0 0,3,3,3,4,4,4,4
bang_dim=4_code=382,382,64,comp,4,7,7 -10 3 0 0,4,4,4,4,4,4,5
bang_dim=4_code=383,383,64,comp,3,8,8 -10 3 0 0,3,3,3,4,3,4,4
bang_dim=4_code=384,384,8,iso,3,2,2 -4 3 -1 0,4,4,4,4,4,2,4
bang_dim=4_code=385,385,64,comp,4,3,3 -4 3 -1 0,4,4,4,4,4,2,4
bang_dim=4_code=386,386,48,comp,4,3,3 -5 3 -1 0,4,4,4,4,4,3,5
bang_dim=4_code=387,387,192,comp,3,4,4 -5 3 -1 0,4,4,4,4,4,3,4
bang_dim=4_code=390,390,96,comp,3,4,4 -6 3 -1 0,4,4,4,4,4,4,6
bang_dim=4_code=391,391,192,comp,4,5,5 -6 3 -1 0,4,4,4,4,4,4,5
bang_dim=4_code=393,393,96,comp,3,4,4 -6 4 -1 0,3,3,3,3,3,2,4
bang_dim=4_code=395,395,192,comp,4,5,5 -7 4 -1 0,3,3,3,4,4,3,3
bang_dim=4_code=399,399,96,comp,3,6,6 -8 4 -1 0,3,3,3,4,4,3,4
bang_dim=4_code=406,406,64,comp,4,5,5 -7 3 -1 0,4,4,4,4,4,5,7
bang_dim=4_code=407,407,64,comp,3,6,6 -7 3 -1 0,4,4,4,4,4,5,6
bang_dim=4_code=408,408,192,comp,3,4,4 -7 4 -1 0,4,4,4,4,4,3,5
bang_dim=4_code=409,409,192,comp,4,5,5 -7 4 -1 0,3,3,3,4,4,3,4
bang_dim=4_code=410,410,384,comp,4,5,5 -8 4 -1 0,4,4,4,4,4,4,5
bang_dim=4_code=411,411,384,comp,3,6,6 -8 4 -1 0,3,3,3,4,4,4,4
bang_dim=4_code=414,414,192,comp,3,6,6 -9 4 -1 0,4,4,4,4,4,5,6
bang_dim=4_code=415,415,192,comp,4,7,7 -9 4 -1 0,3,3,3,4,4,4,5
bang_dim=4_code=424,424,96,comp,3,4,4 -8 5 -1 0,4,4,4,4,3,3,4
bang_dim=4_code=425,425,192,comp,4,5,5 -8 5 -1 0,3,3,3,4,4,3,4
bang_dim=4_code=426,426,96,comp,4,5,5 -9 5 -1 0,4,4,4,4,4,2,4
bang_dim=4_code=427,427,192,comp,3,6,6 -9 5 -1 0,3,3,3,3,3,2,3
bang_dim=4_code=428,428,384,comp,4,5,5 -9 5 -1 0,4,4,4,4,4,3,4
bang_dim=4_code=429,429,384,comp,3,6,6 -9 5 -1 0,3,3,3,3,3,3,4
bang_dim=4_code=430,430,384,comp,3,6,6 -10 5 -1 0,4,4,4,4,4,3,4
bang_dim=4_code=431,431,384,comp,4,7,7 -10 5 -1 0,3,3,3,4,4,3,3
bang_dim=4_code=444,444,192,comp,3,6,6 -10 5 -1 0,4,4,4,4,4,4,5
bang_dim=4_code=445,445,192,comp,4,7,7 -10 5 -1 0,3,3,3,4,4,4,4
