base,dim,rep_code,label,orbit_size,popcount,gf2_degree,gfq_degree,intmobius_degree,fill_poly,fill_deg,fill_lead,fill_n1,fill_n2,fill_n3,fill_n4,fill_n5,fill_n6,fill_n7,fill_n8,fill_n9,fill_n10,fill_n11,fill_n12,void_n1,void_n2,void_n3,void_n4,void_n5,void_n6,void_n7,void_n8,void_n9,void_n10,void_n11,void_n12
2,2,0,,1,0,-1,-1,-1,0,-oo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,16,25,36,49,64,81,100,121,144
2,2,1,,4,1,2,2,2,n≡0(mod 2): n**2/4 ; n≡1(mod 2): n**2/4 + n/2 + 1/4,2,1/4,1,1,4,4,9,9,16,16,25,25,36,36,0,3,5,12,16,27,33,48,56,75,85,108
2,2,3,tree,4,2,1,1,1,n≡0(mod 2): n**2/2 ; n≡1(mod 2): n**2/2 + n/2,2,1/2,1,2,6,8,15,18,28,32,45,50,66,72,0,2,3,8,10,18,21,32,36,50,55,72
2,2,6,void,2,2,1,1,2,n≡0(mod 2): n**2/2 ; n≡1(mod 2): n**2/2 - 1/2,2,1/2,0,2,4,8,12,18,24,32,40,50,60,72,1,2,5,8,13,18,25,32,41,50,61,72
2,2,7,net,4,3,2,2,2,n≡0(mod 2): 3*n**2/4 ; n≡1(mod 2): 3*n**2/4 + n/2 - 1/4,2,3/4,1,3,8,12,21,27,40,48,65,75,96,108,0,1,1,4,4,9,9,16,16,25,25,36
2,2,15,,1,4,0,0,0,n**2,2,1,1,4,9,16,25,36,49,64,81,100,121,144,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,,1,0,-1,-1,-1,0,-oo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,27,64,125,216,343,512,729,1000,1331,1728
2,3,1,,8,1,3,3,3,n≡0(mod 2): n**3/8 ; n≡1(mod 2): n**3/8 + 3*n**2/8 + 3*n/8 + 1/8,3,1/8,1,1,8,8,27,27,64,64,125,125,216,216,0,7,19,56,98,189,279,448,604,875,1115,1512
2,3,3,tree,12,2,2,2,2,n≡0(mod 2): n**3/4 ; n≡1(mod 2): n**3/4 + n**2/2 + n/4,3,1/4,1,2,12,16,45,54,112,128,225,250,396,432,0,6,15,48,80,162,231,384,504,750,935,1296
2,3,6,,12,2,2,2,3,n≡0(mod 2): n**3/4 ; n≡1(mod 2): n**3/4 + n**2/4 - n/4 - 1/4,3,1/4,0,2,8,16,36,54,96,128,200,250,360,432,1,6,19,48,89,162,247,384,529,750,971,1296
2,3,7,,24,3,3,3,3,n≡0(mod 2): 3*n**3/8 ; n≡1(mod 2): 3*n**3/8 + 5*n**2/8 + n/8 - 1/8,3,3/8,1,3,16,24,63,81,160,192,325,375,576,648,0,5,11,40,62,135,183,320,404,625,755,1080
2,3,15,,6,4,1,1,1,n≡0(mod 2): n**3/2 ; n≡1(mod 2): n**3/2 + n**2/2,3,1/2,1,4,18,32,75,108,196,256,405,500,726,864,0,4,9,32,50,108,147,256,324,500,605,864
2,3,22,,8,3,3,3,3,n≡0(mod 2): 3*n**3/8 ; n≡1(mod 2): 3*n**3/8 + 3*n**2/8 - 3*n/8 - 3/8,3,3/8,0,3,12,24,54,81,144,192,300,375,540,648,1,5,15,40,71,135,199,320,429,625,791,1080
2,3,23,net,8,4,2,2,3,n≡0(mod 2): n**3/2 ; n≡1(mod 2): n**3/2 + 3*n**2/4 - 1/4,3,1/2,1,4,20,32,81,108,208,256,425,500,756,864,0,4,7,32,44,108,135,256,304,500,575,864
2,3,24,void,4,2,2,2,2,n≡0(mod 2): n**3/4 ; n≡1(mod 2): n**3/4 - n/4,3,1/4,0,2,6,16,30,54,84,128,180,250,330,432,1,6,21,48,95,162,259,384,549,750,1001,1296
